================================================================
UDHR HCB EVALUATION
================================================================
URL:             https://berthub.eu/articles/posts/you-can-no-longer-base-
                 your-government-and-society-on-us-clouds/
Domain:          berthub.eu
Content Type:    ED (Editorial/Article) | Secondary: MI (Mission/Values)
Channel Weights: E=0.6, S=0.4
Eval Depth:      STANDARD
Date:            2026-02-23
Methodology:     v3.4
Off-domain:      OFF
External-evidence: OFF
Format:          text + json
================================================================

DOMAIN CONTEXT PROFILE:
  Privacy:       +0.15 | Explicit privacy-by-design. Custom analytics
                         (audience-minutes.js): no tracking, no cookies, no
                         local storage, no third parties. Open-source code.
                         Privacy policy: "data will not be sold, won't be
                         shared with anyone." No Google Analytics, no
                         Cloudflare-served resources. Author is a noted
                         privacy advocate who has published extensively on
                         tracking-free web analytics.
  Accessibility: +0.05 | Skip-to-content and skip-to-main-menu anchor links
                         present. Semantic HTML structure. Clean minimal
                         layout. No dedicated accessibility statement found.
                         Mild positive for implemented features.
  Ed. code:      +0.05 | No formal editorial code (personal blog). However,
                         articles cite specific sources (AP News, NBC,
                         Le Monde, Lawfare, government documents by name
                         and number). Author identifies himself with email.
                         Bilingual publication (English and Dutch).
  Mission:       +0.10 | Author self-describes as "entrepreneur & software
                         developer who contributes to science and cares about
                         Europe, innovation, climate, biology & health."
                         Consistent theme across articles: digital sovereignty,
                         privacy rights, open source. Ukrainian solidarity
                         banner in footer.
  Ownership:     +0.10 | Personal blog. Author: Bert Hubert, founder of
                         PowerDNS, former Dutch government cybersecurity
                         advisor, contributor to IETF/IEEE/RIPE/Nature.
                         No corporate ownership. Independent voice with
                         relevant domain expertise. Transparent identity.
  Access:        +0.15 | No paywall. No registration. No login required.
                         Full content freely accessible. Bilingual (EN/NL).
                         RSS available. Complete open access.
  Ad/tracking:   +0.10 | Zero advertising. Zero ad networks. Zero commercial
                         tracking. Custom open-source sampling analytics only.
                         Author has written extensively against surveillance
                         capitalism and demonstrates this in site operation.

SCORING MATRIX:
| Section   | E Ch. | S Ch. | Final | Dir | Ev | Notes                                          |
|-----------|-------|-------|-------|-----|----|-------------------------------------------------|
| Preamble  |  0.4  |  0.3  |  0.36 | A,F | M  | Article frames digital sovereignty as essential  |
|           |       |       |       |     |    | to democratic governance and rule of law. Argues |
|           |       |       |       |     |    | societies must not surrender autonomy to foreign |
|           |       |       |       |     |    | powers. "Inherent dignity" framing through       |
|           |       |       |       |     |    | democratic self-determination lens. S: open,     |
|           |       |       |       |     |    | independent, ad-free. Modifier: +0.10 (mission). |
|           |       |       |       |     |    | Final: 0.46.                                     |
| Art. 1    |   ND  |   --  |   ND  |     |    | No direct content on freedom/equality/brotherhood|
|           |       |       |       |     |    | in the individual rights sense.                  |
| Art. 2    |   ND  |  0.2  |  0.08 |  P  | L  | No editorial signal on non-discrimination.       |
|           |       |       |       |     |    | S-channel: skip-to-content links, semantic HTML, |
|           |       |       |       |     |    | clean design, bilingual publication (EN/NL).     |
|           |       |       |       |     |    | Accessibility features present. Modifier: +0.05  |
|           |       |       |       |     |    | (accessibility). Final: 0.13.                    |
| Art. 3    |  0.2  |   --  |  0.12 |  C  | L  | Tangential: article argues government cloud       |
|           |       |       |       |     |    | dependency creates security vulnerability.        |
|           |       |       |       |     |    | "If Trump sanctions a government, nothing works." |
|           |       |       |       |     |    | Frames infrastructure autonomy as security issue. |
|           |       |       |       |     |    | Indirect. Final: 0.6*0.2 = 0.12.                 |
| Art. 4    |   ND  |   --  |   ND  |     |    | No content on slavery or servitude.              |
| Art. 5    |   ND  |   --  |   ND  |     |    | No content on torture or degrading treatment.    |
| Art. 6    |   ND  |   --  |   ND  |     |    | No content on legal personhood.                  |
| Art. 7    |   ND  |   --  |   ND  |     |    | No content on equality before law.               |
| Art. 8    |  0.3  |   --  |  0.18 | A,C | M  | Article discusses the "special court" (EU-US Data|
|           |       |       |       |     |    | Privacy Framework review mechanism) being         |
|           |       |       |       |     |    | "neutered" by Trump. Advocates for meaningful     |
|           |       |       |       |     |    | judicial remedy for data protection violations.   |
|           |       |       |       |     |    | Frames loss of remedial mechanisms as a crisis.   |
|           |       |       |       |     |    | Final: 0.6*0.3 = 0.18.                           |
| Art. 9    |   ND  |   --  |   ND  |     |    | No content on arbitrary detention.               |
| Art. 10   |   ND  |   --  |   ND  |     |    | No content on fair hearing.                      |
| Art. 11   |   ND  |   --  |   ND  |     |    | No content on presumption of innocence.          |
| Art. 12   |  0.7  |  0.5  |  0.62 | A,P | H  | Central theme. Article argues EU governments are  |
|           |       |       |       |     |    | surrendering citizens' privacy by transferring    |
|           |       |       |       |     |    | data to US clouds. Specific example: Dutch govt   |
|           |       |       |       |     |    | falsely claiming "Google cannot see the IP        |
|           |       |       |       |     |    | address" to justify data transfer. Documents      |
|           |       |       |       |     |    | legal basis collapse (DPF oversight neutered).    |
|           |       |       |       |     |    | "US can read government/court/tax documents."     |
|           |       |       |       |     |    | S-channel: pen.org — no, berthub.eu practices     |
|           |       |       |       |     |    | what it preaches: zero tracking, zero cookies,    |
|           |       |       |       |     |    | zero third parties, open-source analytics.        |
|           |       |       |       |     |    | Modifier: +0.15 (privacy) +0.10 (ad/tracking) =  |
|           |       |       |       |     |    | +0.25 (within cap). Final: 0.87. Capped evidence  |
|           |       |       |       |     |    | check: H evidence supports up to 1.0. OK.         |
| Art. 13   |   ND  |   --  |   ND  |     |    | No direct content on freedom of movement.         |
|           |       |       |       |     |    | (Cloud access restrictions tangentially relevant  |
|           |       |       |       |     |    | but too indirect to score.)                       |
| Art. 14   |   ND  |   --  |   ND  |     |    | No content on asylum.                            |
| Art. 15   |   ND  |   --  |   ND  |     |    | No content on nationality.                       |
| Art. 16   |   ND  |   --  |   ND  |     |    | No content on marriage or family.                |
| Art. 17   |  0.3  |   --  |  0.18 | A,F | M  | Article argues that data in US clouds is subject  |
|           |       |       |       |     |    | to seizure and access by US government. "Data     |
|           |       |       |       |     |    | hostage scenarios." Citizens' data as property    |
|           |       |       |       |     |    | that should not be surrendered. Advocates for     |
