UDHR Compatibility Matrix: kashifshah.net (Methodology v2)
===========================================================

Methodology: v2 (on-domain content only -- no external sources)
Score range: [-1.0, 1.0]  |  ND = No relevant on-domain content
Evidence:    H = High  |  M = Medium  |  L = Low
Off-domain linked content toggle: OFF (default)

On-domain content reviewed:
  - Homepage (/)
  - Text (/text/)
  - Art (/art/)
  - Social (/social/)
  - Tools (/tools/)
  - Footer, navigation, design, and technical signals across all pages

Domain boundary: Only content served from kashifshah.net (including
subdomains like zulip.kashifshah.net, cyberchef.kashifshah.net,
archivebox.kashifshah.net, timecop.kashifshah.net). Outbound links to
other domains (lemmy.sdf.org, social.sdf.org, pixelfed, toobnix, etc.)
are noted as existing but their destination content is not evaluated.

================================================================================

Section      | Score | Ev | Notes
-------------|-------|----|------
Preamble     |  0.4  | M  | Three traditions (Zen, Taoist, Islamic) presented
             |       |    | side-by-side with equal dignity on the homepage.
             |       |    | Tone of humility and contemplation throughout.
             |       |    |
Article 1    |  0.4  | L  | Zen koan on emptiness and Laozi on humility suggest
             |       |    | a spirit of equality and brotherhood, though not
             |       |    | stated explicitly.
             |       |    |
Article 2    |  0.5  | M  | Buddhist, Taoist, and Islamic texts presented without
             |       |    | hierarchy or preference. No content discriminates by
             |       |    | race, gender, religion, or origin.
             |       |    |
Article 3    |  ND   |    | No relevant on-domain content.
             |       |    |
Article 4    |  ND   |    | No relevant on-domain content.
             |       |    |
Article 5    |  ND   |    | No relevant on-domain content.
             |       |    |
Article 6    |  ND   |    | No relevant on-domain content.
             |       |    |
Article 7    |  ND   |    | No relevant on-domain content.
             |       |    |
Article 8    |  ND   |    | No relevant on-domain content.
             |       |    |
Article 9    |  ND   |    | No relevant on-domain content.
             |       |    |
Article 10   |  ND   |    | No relevant on-domain content.
             |       |    |
Article 11   |  ND   |    | No relevant on-domain content.
             |       |    |
Article 12   |  0.5  | M  | No cookies banner needed (no apparent tracking).
             |       |    | No advertising. No login required. No analytics
             |       |    | scripts visible beyond Cloudflare security (infra
             |       |    | protection only). Minimalist design collects no
             |       |    | user data. Subdomains host self-hosted tools
             |       |    | (CyberChef, ArchiveBox) rather than SaaS services.
             |       |    |
Article 13   |  ND   |    | No relevant on-domain content.
             |       |    |
Article 14   |  ND   |    | No relevant on-domain content.
             |       |    |
Article 15   |  ND   |    | No relevant on-domain content.
             |       |    |
Article 16   |  ND   |    | No relevant on-domain content.
             |       |    |
Article 17   |  ND   |    | No relevant on-domain content.
             |       |    |
Article 18   |  0.9  | H  | Core of the site. Homepage features texts from three
             |       |    | distinct faith traditions (Zen Buddhism, Taoism,
             |       |    | Islam) presented freely, equally, and without
             |       |    | commentary ranking one above another. The site
             |       |    | itself is an exercise of freedom of thought,
             |       |    | conscience, and religion. /text/ page reinforces
             |       |    | with "text is beautiful" ethos and writing links.
             |       |    |
Article 19   |  0.7  | M  | The site is a direct exercise of freedom of
             |       |    | expression. Published openly, no access restrictions,
             |       |    | no login wall. /social/ page lists outbound links
             |       |    | to platforms (nature of linked content not evaluated
             |       |    | per toggle). Tools subdomain hosts CyberChef (data
             |       |    | analysis) and ArchiveBox (web archiving) -- tools
             |       |    | that support information access and preservation,
             |       |    | hosted on-domain.
             |       |    |
Article 20   |  0.2  | L  | /social/ page exists, listing links to external
             |       |    | community platforms. The existence of outbound links
             |       |    | to chat (Zulip subdomain is on-domain), forum, and
             |       |    | social platforms indicates support for association,
             |       |    | but destination content is not evaluated. Zulip
             |       |    | subdomain (zulip.kashifshah.net) is on-domain but
             |       |    | returned a server error during review.
             |       |    |
Article 21   |  ND   |    | No relevant on-domain content.
             |       |    |
Article 22   |  ND   |    | No relevant on-domain content.
             |       |    |
Article 23   |  ND   |    | No relevant on-domain content.
             |       |    |
Article 24   |  ND   |    | No relevant on-domain content.
             |       |    |
Article 25   |  ND   |    | No relevant on-domain content.
             |       |    |
Article 26   |  0.3  | M  | Public sharing of religious/philosophical teachings
             |       |    | on the homepage supports educational access. /text/
             |       |    | page provides links to writing archives. Tools
             |       |    | subdomains (CyberChef, ArchiveBox) are educational
             |       |    | and research tools made publicly available on-domain.
             |       |    |
Article 27   |  0.6  | M  | Homepage shares cultural/philosophical texts publicly.
             |       |    | /art/ page exists, listing categories (drawing,
             |       |    | photography, music) with outbound links (destination
             |       |    | content not evaluated per toggle). Design credits
             |       |    | on every page acknowledge inspirations (Voase,
             |       |    | Waltz, Vim). "Made with love using Vim" footer.
             |       |    | On-domain tools (CyberChef, ArchiveBox) are
             |       |    | open-source tools hosted publicly.
             |       |    |
Article 28   |  ND   |    | No relevant on-domain content. (The humanrights
             |       |    | Lemmy community is off-domain; the /social/ page
             |       |    | links to it but does not describe its UDHR framing.)
             |       |    |
Article 29   |  0.3  | L  | Laozi's philosophy of restraint ("withdraw as soon
             |       |    | as your work is done") aligns with responsible
             |       |    | exercise of freedoms. Minimalist site design
             |       |    | practices restraint in data collection and resource
             |       |    | consumption. No harmful content identified.
             |       |    |
Article 30   |  0.2  | L  | No on-domain content advocates destroying others'
             |       |    | rights. Restraint philosophy and multi-tradition
             |       |    | respect support this principle. Score based on
             |       |    | absence of harm rather than active advocacy.

================================================================================

AGGREGATE
---------

Scored sections:          12 / 31
ND sections:              19 / 31
Negative scores:           0

Mean score (excl. ND):    0.46
Mean (non-zero only):     0.46  (no zero scores in this evaluation)
Max:                      0.9   (Article 18 -- Freedom of thought/religion)
Min:                      0.2   (Articles 20, 30)

Evidence profile:         H: 1   M: 6   L: 3   ND: 19

================================================================================

COMPARISON: v1 vs. v2 (off-domain OFF) vs. v2 (off-domain ON)
--------------------------------------------------------------

  Metric                    v1      v2-OFF    v2-ON (if toggled)
  Mean (excl. ND/zero)      0.43    0.46      0.52
  Sections scored           14      12        14
  Max                       0.9     0.9       0.9
  Negative scores           0       0         0
  ND count                  n/a     19        17
  High evidence             n/a     1         3

Key differences (v2-OFF vs. v1):
  - 2 fewer sections scored (Art. 28, Art. 7 now ND instead of 0.0/0.3)
  - Art. 12 (Privacy): v1=0.1, v2-OFF=0.5 -- observable absence of
    tracking is stronger on-domain evidence than v1 acknowledged
  - Art. 19 (Expression): v1=0.8, v2-OFF=0.7 -- without evaluating
    linked platform content, the evidence is slightly thinner
  - Art. 27 (Culture): v1=0.8, v2-OFF=0.6 -- art content itself is
    off-domain (Pixelfed/Toobnix); only the /art/ page structure and
    design credits remain as on-domain evidence
  - Art. 20 (Assembly): v1=0.1, v2-OFF=0.2 -- slightly higher due to
    Zulip subdomain being on-domain, but limited by server error
  - Art. 28 (International order): v1=0.0, v2-OFF=ND -- the UDHR-
    framed community is entirely off-domain

Key differences (v2-OFF vs. v2-ON):
  - Off-domain toggle primarily affects Art. 19, 20, 27, 28
  - With toggle ON, linked community content and art portfolios provide
    additional evidence, raising scores and reducing ND count

SUMMARY
-------

Under strict on-domain-only evaluation, kashifshah.net scores slightly
higher than v1 on mean (0.46 vs. 0.43) but covers fewer sections (12 vs.
14). The improvement comes from v2's stronger treatment of observable
site features (privacy, tool hosting) as direct evidence.

The cost of the strict domain boundary is felt most on Art. 27 (cultural
participation) and Art. 19 (expression), where the actual creative works
and community engagement live on off-domain platforms. The on-domain
pages /art/ and /social/ serve as pointers rather than content hosts.

The strongest on-domain signal remains freedom of religion (0.9), which
is fully evidenced by homepage content alone. Privacy (0.5) is the
biggest v2 improvement -- the absence of tracking, ads, and data
collection is directly observable on-domain.

No negative scores. No on-domain content contradicts any UDHR provision.

================================================================================

Evaluated: 2026-02-23
Methodology: v2 (on-domain content only, off-domain toggle OFF)
