================================================================
UDHR HCB EVALUATION
================================================================
URL:             https://pen.org/press-release/chinese-government-destroying-
                 mongolian-language/
Domain:          pen.org
Content Type:    HR (Human Rights Specific) | Secondary: ED (Editorial)
Channel Weights: E=0.5, S=0.5
Eval Depth:      STANDARD
Date:            2026-02-23
Methodology:     v3.4
Off-domain:      OFF
External-evidence: OFF
Format:          text + json
================================================================

DOMAIN CONTEXT PROFILE:
  Privacy:       +0.00 | Google Analytics (AW-1023338496) and New Relic
                         monitoring present. GTM data layer initialized.
                         Privacy policy exists but could not be fully
                         retrieved. Standard nonprofit analytics. No evidence
                         of ad-network data sharing or cross-domain profiling.
                         No ad-supported model. Neutral.
  Accessibility: +0.00 | No published accessibility statement found. No WCAG
                         commitment visible. Standard WordPress theme. No
                         evidence of specific a11y features or failures. Net
                         neutral — insufficient information to score.
  Ed. code:      +0.10 | PEN America produces original research with named
                         methodology (20 interviews, digital research, public
                         records). Partner attribution (Southern Mongolian
                         Human Rights Information Centre). Clear sourcing
                         standards for a human rights organization.
  Mission:       +0.15 | 501(c)(3) nonprofit founded 1922. Mission: "unite
                         writers and their allies to celebrate creative
                         expression and defend the liberties that make it
                         possible." Explicit free expression and human rights
                         mandate. Member of PEN International.
  Ownership:     +0.15 | Nonprofit, 501(c)(3). Board of 41 independent
                         trustees. No commercial ownership. Charity Navigator
                         3/4 stars (86% score). Governance: conflict of
                         interest policy, whistleblower policy, document
                         retention. No asset diversion. Structural editorial
                         independence.
  Access:        +0.15 | No paywall. No registration required. Full content
                         freely accessible. Reports and research published
                         openly. Open access model.
  Ad/tracking:   +0.05 | No advertising. No ad networks. No commercial
                         tracking beyond standard analytics (Google Analytics,
                         New Relic). Nonprofit model eliminates ad-driven
                         data incentives. Mild positive.

SCORING MATRIX:
| Section   | E Ch. | S Ch. | Final | Dir | Ev | Notes                                          |
|-----------|-------|-------|-------|-----|----|-------------------------------------------------|
| Preamble  |  0.7  |  0.3  |  0.50 | A,F | H  | Press release explicitly centers human dignity,  |
|           |       |       |       |     |    | rights of ethnic minorities, and rule of law.    |
|           |       |       |       |     |    | Documents violations against Mongolian people's  |
|           |       |       |       |     |    | inherent dignity. Calls for rights-based response|
|           |       |       |       |     |    | from tech companies and governments. S: open     |
|           |       |       |       |     |    | access, nonprofit model. Modifier: +0.15         |
|           |       |       |       |     |    | (mission). Final: 0.65.                          |
| Art. 1    |  0.6  |   --  |  0.30 | A,F | M  | Content frames Mongolians as equal rights-holders|
|           |       |       |       |     |    | whose freedom and dignity are being violated.    |
|           |       |       |       |     |    | Amplifies voices of affected community (exile    |
|           |       |       |       |     |    | journalist Soyonbo Borjgin). Spirit of           |
|           |       |       |       |     |    | brotherhood implicit in solidarity framing.       |
|           |       |       |       |     |    | Final: 0.5*0.6 = 0.30.                          |
| Art. 2    |  0.7  |  0.2  |  0.45 | A,F | H  | Core of the press release: documents             |
|           |       |       |       |     |    | discrimination against ethnic Mongolians by      |
|           |       |       |       |     |    | Chinese state. Systematic targeting based on     |
|           |       |       |       |     |    | ethnicity and language. Advocates against this   |
|           |       |       |       |     |    | discrimination explicitly. S: site available in  |
|           |       |       |       |     |    | English, open to all. Modifier: +0.00            |
|           |       |       |       |     |    | (accessibility). Final: 0.45.                    |
| Art. 3    |  0.3  |   --  |  0.15 |  C  | M  | Documents mass detentions: "8,000-10,000         |
|           |       |       |       |     |    | Mongolians placed in police custody" following   |
|           |       |       |       |     |    | 2020 protests. Reports threats against educators |
|           |       |       |       |     |    | and activists. Frames these as liberty/security  |
|           |       |       |       |     |    | violations. Final: 0.5*0.3 = 0.15.               |
| Art. 4    |   ND  |   --  |   ND  |     |    | No direct content on slavery or servitude.       |
| Art. 5    |  0.3  |   --  |  0.15 | C,F | M  | Documents "forced re-education" of Mongolian     |
|           |       |       |       |     |    | activists and educators. Forced public            |
|           |       |       |       |     |    | "confessions" on digital platforms to discipline  |
|           |       |       |       |     |    | and intimidate. These constitute degrading        |
|           |       |       |       |     |    | treatment. Final: 0.5*0.3 = 0.15.                |
| Art. 6    |   ND  |   --  |   ND  |     |    | No direct content on legal personhood.           |
| Art. 7    |  0.4  |   --  |  0.20 | A,F | M  | Implicit advocacy for equal protection: documents|
|           |       |       |       |     |    | how Mongolians are treated unequally under        |
|           |       |       |       |     |    | Chinese law. Ethnic Mongolians targeted while    |
|           |       |       |       |     |    | Han Chinese are not subject to same language     |
|           |       |       |       |     |    | restrictions. Final: 0.5*0.4 = 0.20.             |
| Art. 8    |   ND  |   --  |   ND  |     |    | No direct content on judicial remedies. Implicitly|
|           |       |       |       |     |    | relevant (no recourse available) but too indirect |
|           |       |       |       |     |    | to score.                                        |
| Art. 9    |  0.4  |   --  |  0.20 | A,C | M  | Documents mass arbitrary detention: 8,000-10,000 |
|           |       |       |       |     |    | placed in police custody for protesting education|
|           |       |       |       |     |    | policy changes. Framed as arbitrary — protest was |
|           |       |       |       |     |    | peaceful. Final: 0.5*0.4 = 0.20.                 |
| Art. 10   |   ND  |   --  |   ND  |     |    | No direct content on fair hearings.              |
| Art. 11   |   ND  |   --  |   ND  |     |    | No direct content on presumption of innocence.   |
|           |       |       |       |     |    | (Forced "confessions" tangentially relevant but  |
|           |       |       |       |     |    | addressed under Art. 5.)                         |
| Art. 12   |  0.5  |  0.2  |  0.35 | A,C | H  | Documents extensive digital surveillance of       |
|           |       |       |       |     |    | Mongolians: WeChat monitoring (11/18 interviewees|
|           |       |       |       |     |    | report restrictions), keyword censorship triggers,|
|           |       |       |       |     |    | transnational reach (police contacts via WeChat  |
|           |       |       |       |     |    | to diaspora in Japan, Australia, Canada, Europe).|
|           |       |       |       |     |    | Advocates against these privacy violations.       |
|           |       |       |       |     |    | S: pen.org itself uses only standard analytics   |
|           |       |       |       |     |    | (Google Analytics, New Relic), no ad networks.    |
|           |       |       |       |     |    | Modifier: +0.00 (privacy), +0.05 (ad/tracking).  |
|           |       |       |       |     |    | Final: 0.40.                                     |
